kodeprov,kodekab,nama,keyword
91,06,SORONG SELATAN,BPS KABUPATEN SORONG SELATAN
91,07,SORONG,BPS KABUPATEN SORONG
91,09,TAMBRAUW,BPS KABUPATEN TAMBRAUW
91,10,MAYBRAT,BPS KABUPATEN MAYBRAT
91,11,MANOKWARI SELATAN,BPS KABUPATEN MANOKWARI SELATAN
91,12,PEGUNUNGAN ARFAK,BPS KABUPATEN PEGUNUNGAN ARFAK
91,71,SORONG,BPS KOTA SORONG
94,01,MERAUKE,BPS KABUPATEN MERAUKE
94,02,JAYAWIJAYA,BPS KABUPATEN JAYAWIJAYA
94,03,JAYAPURA,BPS KABUPATEN JAYAPURA
94,04,NABIRE,BPS KABUPATEN NABIRE
94,08,KEPULAUAN YAPEN,BPS KABUPATEN KEPULAUAN YAPEN
94,09,BIAK NUMFOR,BPS KABUPATEN BIAK NUMFOR
94,10,PANIAI,BPS KABUPATEN PANIAI
94,11,PUNCAK JAYA,BPS KABUPATEN PUNCAK JAYA
94,12,MIMIKA,BPS KABUPATEN MIMIKA
94,13,BOVEN DIGOEL,BPS KABUPATEN BOVEN DIGOEL
94,14,MAPPI,BPS KABUPATEN MAPPI
94,15,ASMAT,BPS KABUPATEN ASMAT
94,17,PEGUNUNGAN BINTANG,BPS KABUPATEN PEGUNUNGAN BINTANG
94,18,TOLIKARA,BPS KABUPATEN TOLIKARA
94,19,SARMI,BPS KABUPATEN SARMI
94,20,KEEROM,BPS KABUPATEN KEEROM
94,26,WAROPEN,BPS KABUPATEN WAROPEN
94,27,SUPIORI,BPS KABUPATEN SUPIORI
94,28,MAMBERAMO RAYA,BPS KABUPATEN MAMBERAMO RAYA
94,29,NDUGA,BPS KABUPATEN NDUGA
94,30,LANNY JAYA,BPS KABUPATEN LANNY JAYA
94,31,MAMBERAMO TENGAH,BPS KABUPATEN MAMBERAMO TENGAH
94,32,YALIMO,BPS KABUPATEN YALIMO
94,33,PUNCAK,BPS KABUPATEN PUNCAK
94,34,DOGIYAI,BPS KABUPATEN DOGIYAI
94,35,INTAN JAYA,BPS KABUPATEN INTAN JAYA
94,36,DEIYAI,BPS KABUPATEN DEIYAI
94,71,JAYAPURA,BPS KOTA JAYAPURA
11,01,SIMEULUE,BPS KABUPATEN SIMEULUE
11,15,NAGAN RAYA,BPS KABUPATEN NAGAN RAYA
12,06,TOBA SAMOSIR,BPS KABUPATEN TOBA SAMOSIR
12,07,LABUHAN BATU,BPS KABUPATEN LABUHAN BATU
12,72,TANJUNG BALAI,BPS KOTA TANJUNG BALAI
13,12,PASAMAN BARAT,BPS KABUPATEN PASAMAN BARAT
14,04,PELALAWAN,BPS KABUPATEN PELALAWAN
14,06,KAMPAR,BPS KABUPATEN KAMPAR
14,07,ROKAN HULU,BPS KABUPATEN ROKAN HULU
14,08,BENGKALIS,BPS KABUPATEN BENGKALIS
14,09,ROKAN HILIR,BPS KABUPATEN ROKAN HILIR
14,10,KEPULAUAN MERANTI,BPS KABUPATEN KEPULAUAN MERANTI
15,06,TANJUNG JABUNG TIMUR,BPS KABUPATEN TANJUNG JABUNG TIMUR
15,07,TANJUNG JABUNG BARAT,BPS KABUPATEN TANJUNG JABUNG BARAT
15,08,TEBO,BPS KABUPATEN TEBO
15,09,BUNGO,BPS KABUPATEN BUNGO
18,12,TULANG BAWANG BARAT,BPS KABUPATEN TULANG BAWANG BARAT
19,04,BANGKA TENGAH,BPS KABUPATEN BANGKA TENGAH
32,05,GARUT,BPS KABUPATEN GARUT
32,72,SUKABUMI,BPS KOTA SUKABUMI
33,12,WONOGIRI,BPS KABUPATEN WONOGIRI
33,72,SURAKARTA,BPS KOTA SURAKARTA
35,10,BANYUWANGI,BPS KABUPATEN BANYUWANGI
35,22,BOJONEGORO,BPS KABUPATEN BOJONEGORO
36,03,TANGERANG,BPS KABUPATEN TANGERANG
52,06,BIMA,BPS KABUPATEN BIMA
53,13,MANGGARAI,BPS KABUPATEN MANGGARAI
61,08,KAPUAS HULU,BPS KABUPATEN KAPUAS HULU
62,13,MURUNG RAYA,BPS KABUPATEN MURUNG RAYA
64,03,KUTAI KARTANEGARA,BPS KABUPATEN KUTAI KARTANEGARA
64,04,KUTAI TIMUR,BPS KABUPATEN KUTAI TIMUR
64,09,PENAJAM PASER UTARA,BPS KABUPATEN PENAJAM PASER UTARA
71,10,BOLAANG MONGONDOW SELATAN,BPS KABUPATEN BOLAANG MONGONDOW SELATAN
73,09,PANGKAJENE DAN KEPULAUAN,BPS KABUPATEN PANGKAJENE DAN KEPULAUAN
74,07,WAKATOBI,BPS KABUPATEN WAKATOBI
76,02,POLEWALI MANDAR,BPS KABUPATEN POLEWALI MANDAR
82,02,HALMAHERA TENGAH,BPS KABUPATEN HALMAHERA TENGAH
91,08,RAJA AMPAT,BPS KABUPATEN RAJA AMPAT
94,16,YAHUKIMO,BPS KABUPATEN YAHUKIMO
